PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Species,Strain/Sex,Route,Dose,Tumor Site: Type of Lesion,Results,Reference
46,363897953,1983,CC(=O)NC1=CC=C(C=C1)O,Inactive,,,,MOUSE,B6C3F1/FEMALE,ORAL,0; 600; 3000; 6000 PPM IN DIET FOR 103 WK (STUDY DURATION: 106 WK),,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-394 Y93]"
47,363897953,1983,CC(=O)NC1=CC=C(C=C1)O,Inactive,,,,RAT,F344/MALE,ORAL,0; 0.45; 0.9% IN DIET FOR 104 WK (STUDY DURATION: 130 WK),,NEGATIVE,"[HIRAGA,K AND FUJII,T; CARCINOGENICITY TESTING OF ACETAMINOPHEN IN F344 RATS; JPN. J. CANCER RES. (GANN) 76(2):79-85, 1985]"
48,363897953,1983,CC(=O)NC1=CC=C(C=C1)O,Inactive,,,,RAT,F344/FEMALE,ORAL,0; 0.65; 1.3% IN DIET FOR 104 WK (STUDY DURATION: 130 WK),,NEGATIVE,"[HIRAGA,K AND FUJII,T; CARCINOGENICITY TESTING OF ACETAMINOPHEN IN F344 RATS; JPN. J. CANCER RES. (GANN) 76(2):79-85, 1985]"
49,363897953,1983,CC(=O)NC1=CC=C(C=C1)O,Active,,,,MOUSE,STRAIN-IF/MALE,ORAL,0; 0.5; 1% IN DIET FOR 18 MO (STUDY DURATION: 18 MO),"LIVER: HEPATOCELLULAR CARCINOMA, HEPATOCELLULAR ADENOMA OR CARCINOMA",POSITIVE,"[FLAKS,A AND FLAKS,B; INDUCTION OF LIVER CELL TUMOURS IN IF MICE BY PARACETAMOL; CARCINOGENESIS 4:363-368, 1983]"
50,363897953,1983,CC(=O)NC1=CC=C(C=C1)O,Active,,,,MOUSE,STRAIN-IF/FEMALE,ORAL,0; 0.5; 1% IN DIET FOR 18 MO (STUDY DURATION: 18 MO),LIVER: HEPATOCELLULAR CARCINOMA OR ADENOMA,POSITIVE,"[FLAKS,A AND FLAKS,B; INDUCTION OF LIVER CELL TUMOURS IN IF MICE BY PARACETAMOL; CARCINOGENESIS 4:363-368, 1983]"
51,363897953,1983,CC(=O)NC1=CC=C(C=C1)O,Inactive,,,,MOUSE,B6C3F1/MALE,ORAL,0; 5000; 10000 PPM IN DIET BEGINNING AT 6 WK OF AGE AND CONTINUING FOR 70 WK (STUDY DURATION: 72 WK),,NEGATIVE,"[HAGIWARA,A AND WARD,JM; THE CHRONIC HEPATOTOXIC, TUMOR-PROMOTING, AND CARCINOGENIC EFFECTS OF ACETAMINOPHEN IN MALE B6C3F1 MICE; FUNDAM. APPL. TOXICOL. 7:376-386, 1986]"
52,363897953,1983,CC(=O)NC1=CC=C(C=C1)O,Unspecified,,,,RAT,F344/FEMALE,ORAL,0; 600; 3000; 6000 PPM IN DIET FOR 103 WK (STUDY DURATION: 106 WK),MULTIPLE ORGANS: MONONUCLEAR CELL LEUKEMIA,EQUIVOCAL,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-394 Y93]"
53,363897954,1989,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,Inactive,,,,MOUSE,B6C3F1/FEMALE,ORAL,"0; 6359; 12718 PPM IN DIET, TWA",,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-50 Y78]"
54,363897954,1989,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,Inactive,,,,MOUSE,B6C3F1/MALE,ORAL,"0; 6359; 12718 PPM IN DIET, TWA",,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-50 Y78]"
55,363897954,1989,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,Inactive,,,,RAT,F344/FEMALE,ORAL,0; 10000; 20000 PPM IN DIET,,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-50 Y78]"
56,363897954,1989,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,Inactive,,,,RAT,F344/MALE,ORAL,0; 10000; 20000 PPM IN DIET,,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-50 Y78]"
57,363897955,67180,CC(=NO)C,Active,,,,RAT,WISTAR/MALE,ORAL,1.0 G/L IN DRINKING WATER 5/WK FOR 18 MO,LIVER: HEPATOCELLULAR ADENOMA,POSITIVE,"[MIRVISH,SS, SALMASI,S AND RUNGE,RG; CARCINOGENICITY TEST OF ACETOXIME IN MRC-WISTAR RATS; J. NATL. CANCER INST. 69:961-962, 1982]"
58,363897956,345512,CC1(C=CC2=C3C(=C(C=C2O1)OC)C(=O)C4=CC=CC=C4N3C)C,Active,,,,RAT,SPRAGUE-DAWLEY/FEMALE,INTRAPERITONEAL,0; 3.75; 7.5; 15 MG/KG FOR 52 WK (STUDY DURATION: 80-82 WK),MAMMARY GLAND: FIBROADENOMA; PERITONEAL CAVITY: SARCOMA OR FIBROSARCOMA OR MESOTHELIOMA,POSITIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-49 Y78]"
59,363897956,345512,CC1(C=CC2=C3C(=C(C=C2O1)OC)C(=O)C4=CC=CC=C4N3C)C,Active,,,,RAT,SPRAGUE-DAWLEY/MALE,INTRAPERITONEAL,0; 3.75; 7.5; 15 MG/KG FOR 51-52 WK (STUDY DURATION: 51-82 WK),MUSCULOSKELETAL SYSTEM: OSTEOSARCOMA; PERITONEAL CAVITY: SARCOMA OR FIBROSARCOMA OR MESOTHELIOMA,POSITIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-49 Y78]"
60,363897957,6579,C=CC(=O)N,Active,,,,MOUSE,"STRAIN-A/MALE, FEMALE",ORAL,6.25; 12.5; 25 MG/KG IN WATER 3/WK FOR 8 WK,LUNG: ADENOMA,POSITIVE,"[BULL,RJ, ROBINSON,M, LAURIE,RD, STONER,GD, GREISIGER,E, MEIER,JR AND STOBER,J; CARCINOGENIC EFFECTS OF ACRYLAMIDE IN SENCAR AND A/J MICE; CANCER RES. 44:107-111, 1984]"
61,363897957,6579,C=CC(=O)N,Active,,,,MOUSE,"STRAIN-A/MALE,FEMALE",INTRAPERITONEAL,1-60 MG/KG IN WATER 3/WK FOR 8 WK,LUNG: ADENOMA,POSITIVE,"[BULL,RJ, ROBINSON,M, LAURIE,RD, STONER,GD, GREISIGER,E, MEIER,JR AND STOBER,J; CARCINOGENIC EFFECTS OF ACRYLAMIDE IN SENCAR AND A/J MICE; CANCER RES. 44:107-111, 1984]"
62,363897957,6579,C=CC(=O)N,Active,,,,RAT,F344/MALE,ORAL,0; 0.01; 0.1; 0.5; 2.0 MG/KG/D IN DRINKING WATER FOR 2 YR (STUDY DURATION: 2 YR),TESTES: MALIGNANT MESOTHELIOMA,POSITIVE,"[JOHNSON,KA, GORZINSKI,SJ, BODNER,KM, CAMPBELL,RA, WOLF,CH, FRIEDMAN,MA AND MAST,RW; CHRONIC TOXICITY AND ONCOGENICITY STUDY ON ACRYLAMIDE INCORPORATED IN THE DRINKING WATER OF FISCHER 344 RATS; TOXICOL. APPL. PHARMACOL. 85:154-168,1986]"
63,363897957,6579,C=CC(=O)N,Active,,,,RAT,F344/FEMALE,ORAL,0; 0.01; 0.1; 0.5; 2.0 MG/KG/D IN DRINKING WATER FOR 2 YR (STUDY DURATION: 2 YR),THYROID GLAND: ADENOCARCINOMA OR ADENOMA; ORAL CAVITY: SQUAMOUS CELL PAPILLOMA; UTERUS: ADENOCARCINOMA; MAMMARY GLAND: BENIGN TUMOR,POSITIVE,"[JOHNSON,KA, GORZINSKI,SJ, BODNER,KM, CAMPBELL,RA, WOLF,CH, FRIEDMAN,MA AND MAST,RW; CHRONIC TOXICITY AND ONCOGENICITY STUDY ON ACRYLAMIDE INCORPORATED IN THE DRINKING WATER OF FISCHER 344 RATS; TOXICOL. APPL. PHARMACOL. 85:154-168,1986]"
64,363897957,6579,C=CC(=O)N,Active,,,,RAT,F344/MALE,ORAL,0; 0.1; 0.5; 2 MG/KG/D IN DRINKING WATER FOR 108 WK (STUDY DURATION: 108 WK),TESTES: MESOTHELIOMA; THYROID: FOLLICULAR CELL ADENOMA,POSITIVE,"[FRIEDMAN,MA, DULAK,LH AND STEDHAM,MA; A LIFETIME ONCOGENICITY STUDY IN RATS WITH ACRYLAMIDE; FUNDAM. APPL. TOXICOL. 27(1):95-105, 1995]"
65,363897957,6579,C=CC(=O)N,Active,,,,RAT,F344/FEMALE,ORAL,0; 1; 3 MG/KG/D IN DRINKING WATER FOR 108 WK (STUDY DURATION: 108 WK),THYROID GLAND: FOLLICULAR CELL ADENOMA OR CARCINOMA,POSITIVE,"[FRIEDMAN,MA, DULAK,LH AND STEDHAM,MA; A LIFETIME ONCOGENICITY STUDY IN RATS WITH ACRYLAMIDE; FUNDAM. APPL. TOXICOL. 27(1):95-105, 1995]"
66,363897957,6579,C=CC(=O)N,Inactive,,,,Mouse,"CD1, Female (25/Group)",Oral,"3-4 mg/kg daily for 2, 6, or 8 mo (2 groups per dose, one group per dose treated with thyroxine)",Thyroid,Negative. Length of experiment may have been insufficient to express tumors.,"[JIN,L, CHICO-GALDO,V, MASSART,C, GERVY,C, DE MAERTALAERE,V, FRIEDMAN,M, VAN SANDE,J; ACRYLAMIDE DOES NOT INDUCE TUMORIGENESIS OR MAJOR DEFECTS IN MICE IN VIVO. JOURNAL OF ENDOCRINOLOGY. 198(2): 301-307, 2008]"
67,363897958,7855,C=CC#N,Active,,,,HUMAN,,INHALATION,,LUNG; COLON,POSITIVE,"[NIOSH CURRENT INTELLIGENCE BULLETIN 18, ACRYLONITRILE; U.S. DEPARTMENT OF HEALTH, EDUCATION, AND WELFARE; NATIONAL INSTITUTE FOR OCCUPATIONAL SAFETY AND HEALTH, CINCINNATI, OHIO, JULY 1, 1977, ][IARC MONOGRAPHS ON THE EVALUATION OF THE CARCINOGENIC RISK OF CHEMICALS TO HUMANS, INTERNATIONAL AGENCY FOR RESEARCH ON CANCER, LYON, FRANCE, p. V19 73 Y79]"
68,363897958,7855,C=CC#N,Active,,,,RAT,,ORAL,,FORESTOMACH; STOMACH; NERVOUS SYSTEM (CENTRAL); EAR (ZYMBAL GLAND),POSITIVE,"[NIOSH CURRENT INTELLIGENCE BULLETIN 18, ACRYLONITRILE; U.S. DEPARTMENT OF HEALTH, EDUCATION, AND WELFARE; NATIONAL INSTITUTE FOR OCCUPATIONAL SAFETY AND HEALTH, CINCINNATI, OHIO, JULY 1, 1977, ][IARC MONOGRAPHS ON THE EVALUATION OF THE CARCINOGENIC RISK OF CHEMICALS TO HUMANS, INTERNATIONAL AGENCY FOR RESEARCH ON CANCER, LYON, FRANCE, p. V19 73 Y79]"
69,363897958,7855,C=CC#N,Active,,,,RAT,,INHALATION,,MAMMARY GLAND; NERVOUS SYSTEM (CENTRAL); EAR (ZYMBAL GLAND),POSITIVE,"[NIOSH CURRENT INTELLIGENCE BULLETIN 18, ACRYLONITRILE; U.S. DEPARTMENT OF HEALTH, EDUCATION, AND WELFARE; NATIONAL INSTITUTE FOR OCCUPATIONAL SAFETY AND HEALTH, CINCINNATI, OHIO, JULY 1, 1977, ][IARC MONOGRAPHS ON THE EVALUATION OF THE CARCINOGENIC RISK OF CHEMICALS TO HUMANS, INTERNATIONAL AGENCY FOR RESEARCH ON CANCER, LYON, FRANCE, p. V19 73 Y79]"
70,363897958,7855,C=CC#N,Active,,,,RAT,SPRAGUE-DAWLEY/MALE,ORAL,0; 20; 100; 500 PPM IN DRINKING WATER FOR DURATION OF STUDY (STUDY DURATION: 2 YR),ZYMBAL'S GLAND: TUMOR,POSITIVE,"[GALLAGHER,GT, MAULL,EA, KOVACS,K AND SZABO,S; NEOPLASMS IN RATS INGESTING ACRYLONITRILE FOR TWO YEARS; J. AM. COLL. TOXICOL. 7(5):603-615, 1988]"
71,363897958,7855,C=CC#N,Active,,,,RAT,SPRAGUE-DAWLEY/MALE,INHALATION,0; 60 PPM 4 HR/D 5 D/WK FOR 7 WK THEN 7 HR/D 5 D/WK FOR 97 WK ADMINISTRATION STARTED WITH EMBRYOS ON DAY 12 OF GESTATION (STUDY DURATION: 104 WK),ZYMBAL GLAND: CARCINOMA; LIVER: HEPATOMA; BRAIN: GLIOMA,POSITIVE,"[MALTONI,C, CILIBERTI,A, COTTI,G AND PERINO,G; LONG-TERM BIOASSAYS ON ACRYLONITRILE ADMINISTERED BY INHALATION AND BY INGESTION TO SPRAGUE-DAWLEY RATS; ANN. N.Y. ACAD. SCI. 534(LIVING CHEM. WORLD):179-202, 1988]"
72,363897958,7855,C=CC#N,Active,,,,RAT,SPRAGUE-DAWLEY/FEMALE,INHALATION,0; 60 PPM 4 HR/D 5 D/WK FOR 7 WK THEN 7 HR/D 5 D/WK FOR 97 WK ADMINISTRATION STARTED WITH EMBRYOS ON DAY 12 OF GESTATION (STUDY DURATION: 104 WK),MAMMARY GLAND: TUMORS; LIVER: ANGIOSARCOMA; BRAIN: GLIOMA,POSITIVE,"[MALTONI,C, CILIBERTI,A, COTTI,G AND PERINO,G; LONG-TERM BIOASSAYS ON ACRYLONITRILE ADMINISTERED BY INHALATION AND BY INGESTION TO SPRAGUE-DAWLEY RATS; ANN. N.Y. ACAD. SCI. 534(LIVING CHEM. WORLD):179-202, 1988]"
73,363897958,7855,C=CC#N,Inactive,,,,RAT,SPRAGUE-DAWLEY/MALE,GAVAGE,0; 5 MG/KG IN OLIVE OIL 1/D 3 D/WK FOR 52 WK (STUDY DURATION: LIFETIME),,NEGATIVE,"[MALTONI,C, CILIBERTI,A, COTTI,G AND PERINO,G; LONG-TERM BIOASSAYS ON ACRYLONITRILE ADMINISTERED BY INHALATION AND BY INGESTION TO SPRAGUE-DAWLEY RATS; ANN. N.Y. ACAD. SCI. 534(LIVING CHEM. WORLD):179-202, 1988]"
74,363897958,7855,C=CC#N,Inactive,,,,RAT,SPRAGUE-DAWLEY/FEMALE,GAVAGE,0; 5 MG/KG IN OLIVE OIL 1/D 3 D/WK FOR 52 WK (STUDY DURATION: LIFETIME),,NEGATIVE,"[MALTONI,C, CILIBERTI,A, COTTI,G AND PERINO,G; LONG-TERM BIOASSAYS ON ACRYLONITRILE ADMINISTERED BY INHALATION AND BY INGESTION TO SPRAGUE-DAWLEY RATS; ANN. N.Y. ACAD. SCI. 534(LIVING CHEM. WORLD):179-202, 1988]"
75,363897958,7855,C=CC#N,Inactive,,,,RAT,SPRAGUE-DAWLEY/MALE,INHALATION,0; 60 PPM 4 HR/D 5 D/WK FOR 7 WK THEN 7 HR/D 5 D/WK FOR 8 WK ADMINISTRATION STARTED WITH EMBRYOS ON 12TH DAY OF GESTATION (STUDY DURATION: LIFETIME),,NEGATIVE,"[MALTONI,C, CILIBERTI,A, COTTI,G AND PERINO,G; LONG-TERM BIOASSAYS ON ACRYLONITRILE ADMINISTERED BY INHALATION AND BY INGESTION TO SPRAGUE-DAWLEY RATS; ANN. N.Y. ACAD. SCI. 534(LIVING CHEM. WORLD):179-202, 1988]"
76,363897958,7855,C=CC#N,Inactive,,,,RAT,SPRAGUE-DAWLEY/FEMALE,INHALATION,0; 60 PPM 4 HR/D 5 D/WK FOR 7 WK THEN 7 HR/D 5 D/WK FOR 8 WK ADMINISTRATION STARTED WITH EMBRYOS ON 12TH DAY OF GESTATION (STUDY DURATION: LIFETIME),,NEGATIVE,"[MALTONI,C, CILIBERTI,A, COTTI,G AND PERINO,G; LONG-TERM BIOASSAYS ON ACRYLONITRILE ADMINISTERED BY INHALATION AND BY INGESTION TO SPRAGUE-DAWLEY RATS; ANN. N.Y. ACAD. SCI. 534(LIVING CHEM. WORLD):179-202, 1988]"
77,363897958,7855,C=CC#N,Inactive,,,,RAT,SPRAGUE-DAWLEY/MALE,GAVAGE,0; 5 MG/KG BW IN OLIVE OIL 3/WK FOR 52 WK (STUDY DURATION: LIFETIME),[BRAIN WAS ONLY SITE EVALUATED],NEGATIVE,"[MALTONI,C, CILIBERTI,A AND CARRETTI,P; EXPERIMENTAL CONTRIBUTIONS IN IDENTIFYING BRAIN POTENTIAL CARCINOGENS IN THE PETROCHEMICAL INDUSTRY; ANN. N.Y. ACAD. SCI. 381:216-249, 1982]"
78,363897958,7855,C=CC#N,Inactive,,,,RAT,SPRAGUE-DAWLEY/FEMALE,GAVAGE,0; 5 MG/KG BW IN OLIVE OIL 3/WK FOR 52 WK (STUDY DURATION: LIFETIME),[BRAIN WAS ONLY SITE EVALUATED],NEGATIVE,"[MALTONI,C, CILIBERTI,A AND CARRETTI,P; EXPERIMENTAL CONTRIBUTIONS IN IDENTIFYING BRAIN POTENTIAL CARCINOGENS IN THE PETROCHEMICAL INDUSTRY; ANN. N.Y. ACAD. SCI. 381:216-249, 1982]"
79,363897958,7855,C=CC#N,Active,,,,MOUSE,B6C3F1/FEMALE,GAVAGE,0; 2.5; 10; 20 MG/KG/D  5 D/WK FOR 105 WK (STUDY DURATION: 105 WK),"FORESTOMACH: SQUAMOUS CELL PAPILLOMA, SQUAMOUS CELL CARCINOMA, SQUAMOUS CELL PAPILLOMA OR CARCINOMA, EPITHELIAL HYPERPLASIA; HARDERIAN GLAND: ADENOMA, ADENOMA OR CARCINOMA; OVARY BENIGN OR MALIGNANT GRANULOSA CELL TUMORS; LUNG (ALVEOLAR/BRONCHIOLAR): ADENOMA OR CARCINOMA",POSITIVE,"[CATTERALL,F COPELAND,E CLIFFORD,MN AND IOANNIDES,S; EFFECTS OF BLACK TEA THEAFULVINS ON AFLATOXIN B1 MUTAGENESIS IN THE AMES TEST; MUTAGENESIS 18(2):145-150, 2003]"
80,363897958,7855,C=CC#N,Active,,,,MOUSE,B6C3F1/MALE,GAVAGE,0; 2.5; 10; 20 MG/KG/D  5 D/WK FOR 105 WK (STUDY DURATION: 105 WK),"FORESTOMACH: SQUAMOUS CELL PAPILLOMA, SQUAMOUS CELL CARCINOMA, SQUAMOUS CELL PAPILLOMA OR CARCINOMA, EPITHELIAL HYPERPLASIA; HARDERIAN GLAND: ADENOMA, ADENOMA OR CARCINOMA",POSITIVE,"[CATTERALL,F COPELAND,E CLIFFORD,MN AND IOANNIDES,S; EFFECTS OF BLACK TEA THEAFULVINS ON AFLATOXIN B1 MUTAGENESIS IN THE AMES TEST; MUTAGENESIS 18(2):145-150, 2003]"
81,363897958,7855,C=CC#N,Active,,,,RAT,F344/MALE,ORAL,0; 1; 3; 10; 30; 100 PPM IN DRINKING WATER FOR LIFETIME (STUDY DURATION: 26 MO),"BRAIN: ASTROCYTOMA; SPINAL CORD: ASTROCYTOMA; ZYMBAL'S GLAND: SQUAMOUS CELL PAPILLOMA, ADENOMA/CARCINOMA; FORESTOMACH: SQUAMOUS CELL PAPILLOMA/CARCINOMA",POSITIVE,"[JOHANNSEN,FR AND LEVINSKAS,GJ; CHRONIC TOXICITY AND ONCOGENIC DOSE-RESPONSE EFFECTS OF LIFETIME ORAL ACRYLONITRILE EXPOSURE TO FISCHER 344 RATS; TOXICOL. LETT. 132(3):221-247, 2002]"
82,363897958,7855,C=CC#N,Active,,,,RAT,F344/FEMALE,ORAL,0; 1; 3; 10; 30; 100 PPM IN DRINKING WATER FOR LIFETIME (STUDY DURATION: 26 MO),"BRAIN: ASTROCYTOMA; ZYMBAL'S GLAND: SQUAMOUS CELL PAPILLOMA, ADENOMA/CARCINOMA; MAMMARY GLAND: FIBROADENOMA;  FORESTOMACH: SQUAMOUS CELL PAPILLOMA/CARCINOMA",POSITIVE,"[JOHANNSEN,FR AND LEVINSKAS,GJ; CHRONIC TOXICITY AND ONCOGENIC DOSE-RESPONSE EFFECTS OF LIFETIME ORAL ACRYLONITRILE EXPOSURE TO FISCHER 344 RATS; TOXICOL. LETT. 132(3):221-247, 2002]"
83,363897958,7855,C=CC#N,Active,,,,RAT,SPRAGUE-DAWLEY/FEMALE,GAVAGE,0; 0.1; 10 MG/KG/D 7D/WK FOR 20 MO (STUDY DURATION: 20 MO),"BRAIN: ASTROCYTOMA; ZYMBAL'S GLAND/EAR CANAL: CARCINOMA; FORESTOMACH: SQUAMOUS CELL PAPILLOMA/PAPILLOMA, SQUAMOUS CELL CARCINOMA; MAMMARY GLAND: CARCINOMA",POSITIVE,"[JOHANNSEN,FR AND LEVINSKAS,GJ; COMPARATIVE CHRONIC TOXICITY AND CARCINOGENICITY OF ACRYLONITRILE BY DRINKING WATER AND ORAL INTUBATION TO SPARTAN SPRAGUE-DAWLEY RATS; TOXICOL. LETT. 132(3):197-219, 2002]"
84,363897958,7855,C=CC#N,Active,,,,RAT,SPRAGUE-DAWLEY/MALE,GAVAGE,0; 0.1; 10 MG/KG/D 7D/WK FOR 20 MO (STUDY DURATION: 20 MO),"BRAIN: ASTROCYTOMA; ZYMBAL'S GLAND/EAR CANAL: CARCINOMA; FORESTOMACH: SQUAMOUS CELL PAPILLOMA/PAPILLOMA, SQUAMOUS CELL CARCINOMA",POSITIVE,"[JOHANNSEN,FR AND LEVINSKAS,GJ; COMPARATIVE CHRONIC TOXICITY AND CARCINOGENICITY OF ACRYLONITRILE BY DRINKING WATER AND ORAL INTUBATION TO SPARTAN SPRAGUE-DAWLEY RATS; TOXICOL. LETT. 132(3):197-219, 2002]"
85,363897958,7855,C=CC#N,Active,,,,RAT,SPRAGUE-DAWLEY/FEMALE,ORAL,0; 1; 100 PPM IN DRINKING WATER FOR 22 MO (STUDY DURATION: 20 MO),BRAIN: ASTROCYTOMA; ZYMBAL'S GLAND/EAR CANAL: ADENOMA OR CARCINOMA; FORESTOMACH: SQUAMOUS CELL PAPILLOMA/PAPILLOMA OR SQUAMOUS CELL CARCINOMA; MAMMARY GLAND: CARCINOMA,POSITIVE,"[JOHANNSEN,FR AND LEVINSKAS,GJ; COMPARATIVE CHRONIC TOXICITY AND CARCINOGENICITY OF ACRYLONITRILE BY DRINKING WATER AND ORAL INTUBATION TO SPARTAN SPRAGUE-DAWLEY RATS; TOXICOL. LETT. 132(3):197-219, 2002]"
86,363897958,7855,C=CC#N,Active,,,,RAT,SPRAGUE-DAWLEY/MALE,ORAL,0; 1; 100 PPM IN DRINKING WATER FOR 22 MO (STUDY DURATION: 20 MO),BRAIN: ASTROCYTOMA; ZYMBAL'S GLAND/EAR CANAL: ADENOMA OR CARCINOMA; FORESTOMACH: SQUAMOUS CELL PAPILLOMA/PAPILLOMA OR SQUAMOUS CELL CARCINOMA,POSITIVE,"[JOHANNSEN,FR AND LEVINSKAS,GJ; COMPARATIVE CHRONIC TOXICITY AND CARCINOGENICITY OF ACRYLONITRILE BY DRINKING WATER AND ORAL INTUBATION TO SPARTAN SPRAGUE-DAWLEY RATS; TOXICOL. LETT. 132(3):197-219, 2002]"
87,363897958,7855,C=CC#N,Active,,,,MOUSE,B6C3F1/MALE,GAVAGE,0; 2.5; 10; 20 MG/KG 5D/WK FOR 104-105 WK (STUDY DURATION: 104-105 WK),"FORESTOMACH: SQUAMOUS CELL PAPILLOMA, SQUAMOUS CELL CARCINOMA, SQUAMOUS CELL PAPILLOMA OR CARCINOMA; HARDERIAN GLAND: ADENOMA, ADENOMA OR CARCINOMA",POSITIVE,"[GHANAYEM,BI BRISTOL,DW BUCHER,JR HAILEY,JR HASEMAN,JK  HERBERT,RA MARONPOT,RR NYSKA,A PEDDADA,SD ORZECH,DP RAO,GN  ROYCROFT,JH SMITH,CS TRAVLOS,GS AND WITT,KL; NTP TECHNICAL  REPORT ON THE TOXICOLOGY AND CARCINOGENESIS STUDIES OF  ACRYLONITRILE (CAS NO. 107-31-1) IN B6C3F1 MICE (GAVAGE  STUDIES); NATL. TOXICOL. PROGRAM TECH REP. SER. 506: 1-197,  2001]"
88,363897958,7855,C=CC#N,Active,,,,MOUSE,B6C3F1/FEMALE,GAVAGE,0; 2.5; 10; 20 MG/KG 5D/WK FOR 104-105 WK (STUDY DURATION: 104-105 WK),"FORESTOMACH: SQUAMOUS CELL PAPILLOMA, SQUAMOUS CELL CARCINOMA, SQUAMOUS CELL PAPILLOMA OR CARCINOMA; HARDERIAN GLAND: ADENOMA, ADENOMA OR CARCINOMA",POSITIVE,"[GHANAYEM,BI BRISTOL,DW BUCHER,JR HAILEY,JR HASEMAN,JK  HERBERT,RA MARONPOT,RR NYSKA,A PEDDADA,SD ORZECH,DP RAO,GN  ROYCROFT,JH SMITH,CS TRAVLOS,GS AND WITT,KL; NTP TECHNICAL  REPORT ON THE TOXICOLOGY AND CARCINOGENESIS STUDIES OF  ACRYLONITRILE (CAS NO. 107-31-1) IN B6C3F1 MICE (GAVAGE  STUDIES); NATL. TOXICOL. PROGRAM TECH REP. SER. 506: 1-197,  2001]"
89,363897958,7855,C=CC#N,Unspecified,,,,MOUSE,B6C3F1/FEMALE,GAVAGE,0; 2.5; 10; 20 MG/KG 5D/WK FOR 104-105 WK (STUDY DURATION: 104-105 WK),OVARY: MALIGNANT GRANULOSA CELL TUMOR; LUNG (ALVEOLAR/BRONCHIOLAR): ADENOMA OR CARCINOMA,EQUIVOCAL,"[GHANAYEM,BI BRISTOL,DW BUCHER,JR HAILEY,JR HASEMAN,JK  HERBERT,RA MARONPOT,RR NYSKA,A PEDDADA,SD ORZECH,DP RAO,GN  ROYCROFT,JH SMITH,CS TRAVLOS,GS AND WITT,KL; NTP TECHNICAL  REPORT ON THE TOXICOLOGY AND CARCINOGENESIS STUDIES OF  ACRYLONITRILE (CAS NO. 107-31-1) IN B6C3F1 MICE (GAVAGE  STUDIES); NATL. TOXICOL. PROGRAM TECH REP. SER. 506: 1-197,  2001]"
